"Folder"	"Gene"	"iframe"
"STAMP_all_Lollipop"	"CDH12"	2118
"STAMP_all_Lollipop"	"CDH18"	2120
"STAMP_all_Lollipop"	"CDH7"	2122
"STAMP_all_Lollipop"	"CDH9"	2124
"STAMP_all_Lollipop"	"CDK12"	2126
"STAMP_all_Lollipop"	"CDK4"	2128
"STAMP_all_Lollipop"	"CDK6"	2130
"STAMP_all_Lollipop"	"CDKN1B"	2132
"STAMP_all_Lollipop"	"CDKN2A"	2134
"STAMP_all_Lollipop"	"CDKN2B"	2136
"STAMP_all_Lollipop"	"CHEK2"	2138
"STAMP_all_Lollipop"	"CHRM2"	2140
"STAMP_all_Lollipop"	"CNTNAP2"	2142
"STAMP_all_Lollipop"	"CNTNAP5"	2144
"STAMP_all_Lollipop"	"COL22A1"	2146
"STAMP_all_Lollipop"	"CREBBP"	2148
"STAMP_all_Lollipop"	"CSMD1"	2150
"STAMP_all_Lollipop"	"CSMD3"	2152
"STAMP_all_Lollipop"	"CTNNA2"	2154
"STAMP_all_Lollipop"	"CTNNB1"	2156
"STAMP_all_Lollipop"	"CTSS"	2158
"STAMP_all_Lollipop"	"CUL3"	2160
"STAMP_all_Lollipop"	"DCAF12L1"	2162
"STAMP_all_Lollipop"	"DCAF12L2"	2164
"STAMP_all_Lollipop"	"DCAF4L2"	2166
"STAMP_all_Lollipop"	"DCC"	2168
"STAMP_all_Lollipop"	"DDR2"	2170
"STAMP_all_Lollipop"	"DDX1"	2172
"STAMP_all_Lollipop"	"DMD"	2174
"STAMP_all_Lollipop"	"DNMT3A"	2176
"STAMP_all_Lollipop"	"EGFLAM"	2178
"STAMP_all_Lollipop"	"EGFR"	2180
"STAMP_all_Lollipop"	"EP300"	2182
"STAMP_all_Lollipop"	"EPHA2"	2184
"STAMP_all_Lollipop"	"EPHA3"	2186
"STAMP_all_Lollipop"	"ERBB2"	2188
"STAMP_all_Lollipop"	"ERBB3"	2190
"STAMP_all_Lollipop"	"ERBB4"	2192
"STAMP_all_Lollipop"	"ESR1"	2194
"STAMP_all_Lollipop"	"EZH2"	2196
"STAMP_all_Lollipop"	"FAM135B"	2198
"STAMP_all_Lollipop"	"FAM5C"	2200
"STAMP_all_Lollipop"	"FBN2"	2202
"STAMP_all_Lollipop"	"FBXL7"	2204
"STAMP_all_Lollipop"	"FBXW7"	2206
